# id	roman	expected	category	generalization	status	notes
C028	parledu	పర్లేదు	local-user-learning-case	provisional-explicit-selection	local-runtime	One accidental explicit learned selection must not outrank a high-confidence curated correction.
C029	vachadu	వచ్చాడు	exact-common-word	verb-family-vacchu	exact-only	Common వచ్చు past-masculine form; exact variants are safer than a broad chadu rule.
C030	vachaadu	వచ్చాడు	exact-common-word	verb-family-vacchu	exact-only	Long-vowel Roman variant of vachadu.
C031	vacchadu	వచ్చాడు	exact-common-word	verb-family-vacchu	exact-only	Double-c Roman variant of vachadu.
C032	vacchaadu	వచ్చాడు	exact-common-word	verb-family-vacchu	exact-only	Double-c plus long-vowel Roman variant of vachadu.
C033	ichindi	ఇచ్చింది	candidate-ranking-feature	chindi-gemination	ranking-implemented	Bounded i+chindi pattern should prefer ఇచ్చింది over literal ఇచింది.
C034	icchindi	ఇచ్చింది	candidate-ranking-feature	chindi-gemination	ranking-implemented	Bounded i+cchindi pattern should prefer ఇచ్చింది.
C035	puchindi	పుచ్చింది	candidate-ranking-feature	chindi-gemination	ranking-implemented	Bounded pu+chindi pattern should prefer పుచ్చింది over literal పుచింది.
C036	pucchindi	పుచ్చింది	candidate-ranking-feature	chindi-gemination	ranking-implemented	Bounded pu+cchindi pattern should prefer పుచ్చింది.
C037	eppudoo	ఎప్పుడూ	generalized-suffix-pattern	ppudu-retroflex-du	ranking-implemented	Common ppudoo words should prefer డూ over దూ.
C038	appudoo	అప్పుడూ	generalized-suffix-pattern	ppudu-retroflex-du	ranking-implemented	Common ppudoo words should prefer డూ over దూ.
C039	yellappudu	యెల్లప్పుడూ	exact-common-word	yellappudu-spelling	exact-only	User selected యెల్లప్పుడూ over యెల్లప్పుదూ.
C040	yellappudoo	యెల్లప్పుడూ	exact-common-word	yellappudu-spelling	exact-only	User selected యెల్లప్పుడూ over యెల్లప్పుదూ.
C041	alane	అలానే	exact-common-word	none	exact-only	Companion common-chat word needed for yellappudoo alane phrase.
C042	alaane	అలానే	exact-common-word	none	exact-only	Long-vowel Roman variant of alane.
C043	kooda	కూడా	exact-common-word	common-particle	exact-only	Common particle; exact mapping avoids broad d/డ changes.
C044	koodaa	కూడా	exact-common-word	common-particle	exact-only	Long-vowel Roman variant of kooda.
C045	pada	పద	exact-common-word	seed-correction	exact-only	Lowercase pada should default to పద; padaku/paduko remain separate curated forms.
C046	padaa	పదా	candidate-ranking-feature	long-a-plus-base-option	ranking-implemented	Extra a signals దీర్ఘం, while పద remains the next correction option.
C047	ichanu	ఇచ్చాను	candidate-ranking-feature	chaanu-gemination	ranking-implemented	Bounded i+chanu pattern should prefer ఇచ్చాను over literal ఇచను.
C048	ichaanu	ఇచ్చాను	candidate-ranking-feature	chaanu-gemination	ranking-implemented	Bounded i+chaanu pattern should prefer ఇచ్చాను over literal ఇచాను.
C049	icchanu	ఇచ్చాను	candidate-ranking-feature	chaanu-gemination	ranking-implemented	Bounded i+cchanu pattern should prefer ఇచ్చాను.
C050	icchaanu	ఇచ్చాను	candidate-ranking-feature	chaanu-gemination	ranking-implemented	Bounded i+cchaanu pattern should prefer ఇచ్చాను.
C051	kada	కద	candidate-ranking-feature	ambiguous-particle-order	ranking-implemented	kada can mean కద or కదా; rank కద first while keeping కదా second for explicit selection.
