# roman	telugu	score
vastunnavu	వస్తున్నావు	292
vastunnava	వస్తున్నావా	296
vastunnaru	వస్తున్నారు	292
vastunna	వస్తున్నా	290
vastunnanu	వస్తున్నాను	292
vastava	వస్తావా	294
vastav	వస్తావ్	290
vastanu	వస్తాను	290
vastadu	వస్తాడు	276
vachadu	వచ్చాడు	296
vachaadu	వచ్చాడు	294
vacchadu	వచ్చాడు	294
vacchaadu	వచ్చాడు	292
vastundi	వస్తుంది	282
vastundhi	వస్తుంది	276
vastara	వస్తారా	282
ra	రా	286
randi	రండి	292
raa	రా	280
raava	రావా	282
raav	రావ్	270
raanu	రాను	280
ravali	రావాలి	282
ravatledu	రావట్లేదు	276
vellu	వెళ్ళు	288
vellandi	వెళ్ళండి	286
vellava	వెళ్ళావా	282
vellanu	వెళ్ళాను	280
vellali	వెళ్ళాలి	282
veldam	వెళ్దాం	284
veltunnavo	వెళ్తున్నావో	286
velthunnavo	వెళ్తున్నావో	286
velthunnav	వెళ్తున్నావ్	286
velthunnava	వెళ్తున్నావా	284
velthunna	వెళ్తున్నా	282
velthanu	వెళ్తాను	280
po	పో	278
poni	పోనీ	270
poyava	పోయావా	280
poyanu	పోయాను	278
poyindi	పోయింది	280
poyindhi	పోయింది	274
povali	పోవాలి	278
podam	పోదాం	278
vasthundo	వస్తుందో	294
vastundo	వస్తుందో	290
pothundo	పోతుందో	294
potundo	పోతుందో	290
potunattlu	పొతున్నట్లు	296
pothunatlu	పొతున్నట్లు	296
potunnatlu	పొతున్నట్లు	292
pothunnatlu	పొతున్నట్లు	292
pada	పద	296
padaa	పదా	296
padaa	పద	288
padaku	పడకు	320
thondara	తొందర	320
ko	కో	294
paduko	పడుకో	292
pettuko	పెట్టుకో	294
puchukunte	పుచ్చుకుంటే	294
chesko	చేస్కో	294
choosko	చూస్కో	294
chusko	చుస్కో	286
padukunnava	పడుకున్నావా	286
padukunnanu	పడుకున్నాను	282
le	లే	278
levu	లేవు	286
lechava	లేచావా	282
lecha	లేచా	278
lesthava	లేస్తావా	272
lekunna	లేకున్నా	294
lekunnaa	లేకున్నా	294
lekapoina	లేకపోయినా	296
lekapoinaa	లేకపోయినా	296
lekapoyina	లేకపోయినా	294
lekapoyinaa	లేకపోయినా	294
poina	పోయిన	292
poinaa	పోయినా	292
poyinaa	పోయినా	288
poyina	పోయిన	286
tinnava	తిన్నావా	292
tinnav	తిన్నావ్	288
tinnanu	తిన్నాను	286
tinnara	తిన్నారా	282
tinali	తినాలి	282
tinu	తిను	276
tintunnav	తింటున్నావ్	282
tintunnava	తింటున్నావా	282
thindi	తిండి	292
tindi	తిండి	288
thindhi	తిండి	284
tindhi	తిండి	280
tagava	తాగావా	278
tagu	తాగు	276
tagali	తాగాలి	274
tagutunnav	తాగుతున్నావ్	276
choosava	చూశావా	292
chusava	చూశావా	286
choosanu	చూశాను	288
chusanu	చూశాను	282
choostunnav	చూస్తున్నావ్	286
chustunnav	చూస్తున్నావ్	280
choostunna	చూస్తున్నా	282
choodu	చూడు	284
chudandi	చూడండి	282
vinnava	విన్నావా	284
vinnanu	విన్నాను	280
vinu	విను	276
vinandi	వినండి	276
telusa	తెలుసా	292
telusu	తెలుసు	292
telidu	తెలీదు	292
teleedu	తెలీదు	292
teliyadu	తెలియదు	290
telidhu	తెలియదు	280
teliyaledu	తెలియలేదు	278
ardham	అర్థం	286
artham	అర్థం	282
ardhamayyindi	అర్థమైంది	282
arthamayyindi	అర్థమైంది	278
kavali	కావాలి	292
kaavali	కావాలి	286
vaddu	వద్దు	292
vaddhu	వద్దు	286
istava	ఇస్తావా	286
istanu	ఇస్తాను	284
istunna	ఇస్తున్నా	294
isthunna	ఇస్తున్నా	294
ivvu	ఇవ్వు	286
ivvana	ఇవ్వనా	296
ivvanaa	ఇవ్వనా	294
ivvandi	ఇవ్వండి	282
teesuko	తీసుకో	284
teesukondi	తీసుకోండి	282
teesukunta	తీసుకుంటా	276
pampu	పంపు	280
pampandi	పంపండి	278
pampava	పంపావా	276
pampanu	పంపాను	274
matladali	మాట్లాడాలి	286
matladava	మాట్లాడావా	282
matladutunnav	మాట్లాడుతున్నావ్	280
matladuthunnav	మాట్లాడుతున్నావ్	276
callcheyyi	కాల్ చెయ్యి	278
messagecheyyi	మెసేజ్ చెయ్యి	278
phonecheyyi	ఫోన్ చెయ్యి	276
replyivvu	రిప్లై ఇవ్వు	274
waitcheyyi	వెయిట్ చెయ్యి	270
intlo	ఇంట్లో	286
intiki	ఇంటికి	286
illu	ఇల్లు	280
office	ఆఫీస్	282
officeki	ఆఫీస్‌కి	278
school	స్కూల్	278
schoolki	స్కూల్‌కి	276
college	కాలేజ్	278
collegeki	కాలేజ్‌కి	276
work	వర్క్	270
panilo	పనిలో	276
pani	పని	284
paniki	పనికి	278
meeting	మీటింగ్	276
meetingki	మీటింగ్‌కి	274
bayata	బయట	282
lopala	లోపల	276
pakkana	పక్కన	280
daggara	దగ్గర	284
dhooram	దూరం	274
dooram	దూరం	276
mundhu	ముందు	280
mundu	ముందు	282
venaka	వెనక	276
tarvata	తర్వాత	284
taruvata	తరువాత	278
eroju	ఈరోజు	292
repu	రేపు	290
ninna	నిన్న	286
ivala	ఇవాళ	286
eevaala	ఈవాళ	280
roju	రోజు	284
ratri	రాత్రి	282
raatri	రాత్రి	280
udayam	ఉదయం	282
madhyanam	మధ్యాహ్నం	276
saayantram	సాయంత్రం	276
ippude	ఇప్పుడే	284
appude	అప్పుడే	276
inthalo	ఇంతలో	270
late	లేట్	276
early	ఎర్లీ	268
time	టైమ్	276
sepu	సేపు	276
nimisham	నిమిషం	272
ganta	గంట	274
amma	అమ్మ	292
nanna	నాన్న	290
akka	అక్క	286
anna	అన్న	286
thammudu	తమ్ముడు	282
tammudu	తమ్ముడు	276
chelli	చెల్లి	282
friend	ఫ్రెండ్	278
friends	ఫ్రెండ్స్	276
andaru	అందరూ	286
andariki	అందరికీ	284
evvariki	ఎవరికీ	274
naatho	నాతో	280
neetho	నీతో	278
meetho	మీతో	276
vaaditho	వాడితో	270
ammayi	అమ్మాయి	278
abbayi	అబ్బాయి	278
pillalu	పిల్లలు	276
chinna	చిన్న	276
pichi	పిచ్చి	294
pichi	పిచి	282
picchi	పిచ్చి	292
pachi	పచ్చి	294
pacchi	పచ్చి	292
pedda	పెద్ద	276
kotha	కొత్త	274
paatha	పాత	270
telugu	తెలుగు	300
thelugu	తెలుగు	292
english	ఇంగ్లీష్	276
tenglish	టెంగ్లీష్	270
maatladadam	మాట్లాడదాం	274
kaluddam	కలుద్దాం	278
kalustha	కలుస్తా	270
kalustanu	కలుస్తాను	272
gurthundi	గుర్తుంది	272
gurtundi	గుర్తుంది	270
marchipoya	మర్చిపోయా	276
marchipoyanu	మర్చిపోయాను	274
problem	ప్రాబ్లమ్	274
issue	ఇష్యూ	270
help	హెల్ప్	270
helpcheyyi	హెల్ప్ చెయ్యి	270
urgent	అర్జెంట్	272
important	ఇంపార్టెంట్	270
correct	కరెక్ట్	272
wrong	రాంగ్	270
nijam	నిజం	282
nijanga	నిజంగా	280
abaddam	అబద్ధం	276
happy	హ్యాపీ	274
sad	సాడ్	268
kopam	కోపం	276
istam	ఇష్టం	282
ishtam	ఇష్టం	280
nachindi	నచ్చింది	284
nachindhi	నచ్చింది	278
nachaledu	నచ్చలేదు	280
prema	ప్రేమ	274
busy	బిజీ	280
free	ఫ్రీ	276
ready	రెడీ	276
start	స్టార్ట్	270
finish	ఫినిష్	270
done	డన్	270
confirm	కన్ఫర్మ్	270
cancel	క్యాన్సిల్	270
send	సెండ్	268
share	షేర్	268
photo	ఫోటో	272
video	వీడియో	272
link	లింక్	270
address	అడ్రస్	270
location	లోకేషన్	270
money	మనీ	268
dabbulu	డబ్బులు	282
dabbu	డబ్బు	280
food	ఫుడ్	270
coffee	కాఫీ	274
tea	టీ	274
water	వాటర్	270
neellu	నీళ్లు	282
